"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
18,40.69652,-73.93548,29,1,1,1,0,1,0,1,0,"$50  AND $100"
18,40.6412,-73.9786,1,1,1,1,0,1,0,1,0,"$50  AND $100"
181,40.7149,-73.93983,1,1,1,1,0,0,0,1,0,">  $100"
167,40.77244,-73.95206,1,2,3,3,0,1,1,0,0,">  $100"
95,40.65994,-73.9589199999999,1,2,2,3,0,0,1,0,0,">  $100"
18,40.70117,-73.9914699999999,12,1,1,1,0,0,0,1,0,">  $100"
52,40.7216,-73.98204,1,1,1,1,0,1,1,0,0,">  $100"
100,40.71634,-73.99031,1,2,2,3,0,0,1,0,0,">  $100"
18,40.7132,-73.96798,1,1,1,1,0,0,1,0,0,">  $100"
101,40.84346,-73.94471,1,1,1,1,0,1,1,0,0,">  $100"
64,40.68809,-73.97578,29,1,2,2,0,1,0,1,0,">  $100"
90,40.64342,-73.97851,29,2.5,3,4,0,1,1,0,0,">  $100"
18,40.69582,-73.94989,1,1,1,2,0,0,0,1,0,">  $100"
101,40.72353,-73.99059,1,1,2,3,0,0,1,0,0,">  $100"
18,40.71063,-73.96774,12,1,1,1,0,1,1,0,0,">  $100"
18,40.6844,-73.9489,21,1,2,3,0,0,1,0,0,">  $100"
181,40.7127599999999,-73.95022,1,1,1,1,0,1,1,0,0,"$50  AND $100"
24,40.6838,-73.99849,29,2.5,3,5,0,1,1,0,0,">  $100"
18,40.67275,-73.95144,1,1,1,1,0,0,0,1,0,"$30  AND $50"
42,40.6742099999999,-73.9504,1,1,1,1,0,1,0,1,0,"$50  AND $100"
18,40.68842,-73.9778099999999,1,1,1,2,0,0,1,0,0,"$50  AND $100"
181,40.71327,-73.93979,1,1,1,1,0,0,1,0,0,">  $100"
101,40.8469,-73.9452199999999,1,1,1,2,1,0,0,1,0,"$50  AND $100"
155,40.74342,-73.92635,1,1,1,1,0,1,1,0,0,"$50  AND $100"
10,40.68444,-73.94201,29,2,3,4,0,1,0,1,0,">  $100"
46,40.69648,-73.98261,1,1,1,2,0,1,1,0,0,">  $100"
136,40.74449,-73.95201,1,1,1,1,0,1,1,0,0,">  $100"
18,40.7140599999999,-73.94965,1,1.5,1,1,0,0,0,1,0,"$50  AND $100"
181,40.71385,-73.93861,1,1,1,1,0,0,1,0,0,">  $100"
136,40.76924,-73.91776,1,1,1,1,0,1,0,1,0,"$50  AND $100"
32,40.68714,-73.95775,1,1,1,1,0,0,1,0,0,">  $100"
10,40.68669,-73.91897,1,1,1,1,0,0,0,1,0,"$50  AND $100"
80,40.8057,-73.95826,1,1,1,2,0,0,1,0,0,">  $100"
135,40.6762,-73.9667099999999,29,2,1,1,0,0,0,1,0,"$50  AND $100"
18,40.71867,-73.9557,1,1,1,1,0,1,1,0,0,">  $100"
136,40.74234,-73.92579,1,1,1,1,0,0,0,1,0,">  $100"
112,40.76084,-73.96908,1,1,1,1,0,0,1,0,0,">  $100"
157,40.80011,-73.9133,29,1,1,1,1,1,0,1,0,"$50  AND $100"
